"model","term","estimate","std_error","chain_ownership_controls","region_controls","regression_SE","n"
"i","NJ",0.0325248041904983,0.0144096916692965,FALSE,FALSE,0.101136974393922,317
"ii","NJ",0.0367494516261716,0.0139565723296344,TRUE,FALSE,0.097398417419356,317
"iii","GAP",0.0777728914101923,0.0748161091220217,FALSE,FALSE,0.101777150400665,317
"iv","GAP",0.146954837043237,0.0739897491707674,TRUE,FALSE,0.097859442187555,317
"v","GAP",0.0659358321232715,0.0892781525621142,TRUE,TRUE,0.097361162736018,317
