"row","description","PA","PA_se","PA_n","NJ","NJ_se","NJ_n","NJ_minus_PA","NJ_minus_PA_se","NJ_low","NJ_low_se","NJ_low_n","NJ_mid","NJ_mid_se","NJ_mid_n","NJ_high","NJ_high_se","NJ_high_n","low_minus_high","low_minus_high_se","mid_minus_high","mid_minus_high_se","note"
1,"FTE employment before, all available observations",23.3311688311688,1.35114886147513,77,20.4394080996885,0.508260703414791,321,-2.89176073148036,1.44358310758378,19.5567010309278,0.774855749817421,97,20.0806569343066,0.841273628618723,137,22.25,1.13579938433189,71,-2.69329896907216,1.37493333455619,-2.16934306569343,1.41342900764701,""
2,"FTE employment after, all available observations",21.1655844155844,0.943221155457952,77,21.0274294670846,0.520309441494816,319,-0.138154948499775,1.07721310009305,20.8775510204082,1.00590151161394,98,20.9555555555556,0.755607682817954,135,20.213768115942,1.02510415958511,69,0.663782904466135,1.43620207111183,0.741787439613528,1.27349185640592,""
3,"Change in mean FTE employment",-2.16558441558442,1.22198666746307,77,0.588021367396166,0.472141747560286,319,2.75360578298058,1.3100264292169,1.32084998948033,0.811814669212094,97,0.874898621248985,0.672673064070252,135,-2.03623188405797,0.98195683254013,69,3.3570818735383,1.274080954304,2.91113050530696,1.19026395059999,"row 3 SE uses overlap-aware variance of two wave means; paper does not document its row-3 SE formula"
4,"Change in mean FTE employment, balanced sample",-2.28333333333333,1.25326899873219,75,0.466666666666667,0.480828571430486,309,2.75,1.34234097690828,1.20478723404255,0.822489757536205,94,0.709848484848485,0.686226780228623,132,-2.15671641791045,1.00732050020979,67,3.361503651953,1.30045530157513,2.86656490275893,1.21885265067023,""
5,"Change in mean FTE employment, temporary closures set to zero",-2.28333333333333,1.25326899873219,75,0.225878594249201,0.490978771272112,313,2.50921192758253,1.34601015487368,0.897368421052632,0.869915999220889,95,0.494029850746269,0.692837541919313,134,-2.38970588235294,1.01937957707151,68,3.28707430340557,1.34010767024556,2.88373573309921,1.23254151315211,""
