"part_time_weight","NJ_coefficient","std_error","n"
0,2.48409637301805,1.36792728553227,357
0.02,2.47688689847465,1.35468967503807,357
0.04,2.46967742393127,1.34189175949757,357
0.06,2.46246794938788,1.32954623618807,357
0.08,2.45525847484449,1.31766582088095,357
0.1,2.4480490003011,1.30626320405787,357
0.12,2.44083952575772,1.29535100356422,357
0.14,2.43363005121433,1.28494171385156,357
0.16,2.42642057667094,1.27504765203437,357
0.18,2.41921110212755,1.26568090106574,357
0.2,2.41200162758416,1.25685325041887,357
0.22,2.40479215304077,1.24857613474549,357
0.24,2.39758267849738,1.24086057106556,357
0.26,2.39037320395399,1.23371709512188,357
0.28,2.3831637294106,1.22715569760663,357
0.3,2.37595425486721,1.22118576103004,357
0.32,2.36874478032383,1.21581599805162,357
0.34,2.36153530578043,1.21105439212928,357
0.36,2.35432583123705,1.20690814135735,357
0.38,2.34711635669366,1.20338360635972,357
0.4,2.33990688215027,1.20048626307744,357
0.42,2.33269740760688,1.19822066123966,357
0.44,2.32548793306349,1.19659038923401,357
0.46,2.3182784585201,1.19559804599809,357
0.48,2.31106898397671,1.19524522043945,357
0.5,2.30385950943333,1.19553247876161,357
0.52,2.29665003488994,1.19645935993082,357
0.54,2.28944056034655,1.19802437936792,357
0.56,2.28223108580316,1.20022504079666,357
0.58,2.27502161125977,1.20305785602873,357
0.6,2.26781213671638,1.20651837232228,357
0.62,2.26060266217299,1.210601206819,357
0.64,2.2533931876296,1.21530008744904,357
0.66,2.24618371308621,1.22060789959648,357
0.68,2.23897423854283,1.22651673774257,357
0.7,2.23176476399944,1.23301796125184,357
0.72,2.22455528945605,1.24010225343649,357
0.74,2.21734581491266,1.24775968302735,357
0.76,2.21013634036927,1.25597976719389,357
0.78,2.20292686582588,1.26475153528824,357
0.8,2.19571739128249,1.27406359253734,357
0.82,2.1885079167391,1.28390418296928,357
0.84,2.18129844219572,1.29426125093216,357
0.86,2.17408896765233,1.30512250064299,357
0.88,2.16687949310894,1.31647545328668,357
0.9,2.15967001856555,1.32830750126986,357
0.92,2.15246054402216,1.34060595931647,357
0.94,2.14525106947877,1.35335811217192,357
0.96,2.13804159493538,1.36655125875683,357
0.98,2.13083212039199,1.38017275267985,357
1,2.1236226458486,1.39421003908002,357
