"model","term","estimate","std_error","chain_ownership_controls","region_controls","regression_SE","joint_p_controls","n"
"i","NJ",2.32583118888318,1.19159627769994,FALSE,FALSE,8.79086134500894,,357
"ii","NJ",2.30385950943333,1.19553247876161,TRUE,FALSE,8.78465765848226,0.344250526386599,357
"iii","GAP",15.6528895761538,6.08023687660974,FALSE,FALSE,8.75654628536005,,357
"iv","GAP",14.915673959184,6.2053345597466,TRUE,FALSE,8.75920875647019,0.437359748375633,357
"v","GAP",11.9792365829867,7.41912142269347,TRUE,TRUE,8.75248871085087,0.404569533142913,357
