model,str_estimate,str_se,lower_95,upper_95,canonical_str,gap,matches_canonical
Model 1: testscr ~ str,-2.279808140144662,0.4798255484424671,-3.2202662150918977,-1.3393500651974266,-2.28,1.918598553376505e-4,TRUE
Model 2: testscr ~ str + english,-1.1012956457851695,0.3802782695177078,-1.8466410540398768,-0.3559502375304622,-1.1,-0.0012956457851693859,TRUE
Model 3: testscr ~ str + english + lunch,-0.9983089877613541,0.23875427519462025,-1.4662673671428097,-0.5303506083798984,-1,0.0016910122386458726,TRUE
